Date,Open,High,Low,Close,Adj Close,Volume
2023-11-10,79.300003,79.709999,78.110001,79.690002,79.690002,1223000
2023-11-13,79.099998,79.629997,77.160004,77.269997,77.269997,1608600
2023-11-14,79.500000,85.190002,79.440002,85.139999,85.139999,1908000
2023-11-15,86.690002,91.610001,86.500000,89.510002,89.510002,2352400
2023-11-16,88.500000,88.970001,86.739998,87.820000,87.820000,1065100
2023-11-17,89.489998,91.500000,88.580002,91.180000,91.180000,1139200
2023-11-20,91.099998,94.699997,90.919998,94.570000,94.570000,1506100
2023-11-21,93.870003,94.489998,91.839996,92.599998,92.599998,1074300
2023-11-22,93.639999,94.559998,92.629997,93.699997,93.699997,718300
2023-11-24,93.730003,94.860001,93.400002,94.589996,94.589996,437500
2023-11-27,93.730003,98.709999,93.470001,96.160004,96.160004,2288300
2023-11-28,99.199997,101.489998,97.059998,101.089996,101.089996,2508000
2023-11-29,102.320000,106.120003,102.180000,103.699997,103.699997,1983400
2023-11-30,104.000000,106.029999,101.769997,105.610001,105.610001,1630500
2023-12-01,104.989998,106.720001,102.949997,106.559998,106.559998,1696800
2023-12-04,106.070000,107.379997,104.040001,105.059998,105.059998,1346500
2023-12-05,104.320000,104.559998,101.669998,102.199997,102.199997,1563800
2023-12-06,103.059998,105.489998,102.709999,103.669998,103.669998,1037700
2023-12-07,103.150002,104.290001,102.919998,104.110001,104.110001,943800
2023-12-08,103.400002,105.949997,103.129997,103.739998,103.739998,927400
2023-12-11,103.260002,105.470001,103.260002,104.599998,104.599998,651500
2023-12-12,106.050003,106.050003,103.790001,104.919998,104.919998,922000
2023-12-13,104.500000,107.230003,102.790001,106.800003,106.800003,1101100
2023-12-14,108.940002,110.900002,107.800003,107.860001,107.860001,1359300
2023-12-15,107.930000,108.930000,107.040001,107.110001,107.110001,1384200
2023-12-18,107.599998,107.599998,103.459999,103.629997,103.629997,1479900
2023-12-19,104.459999,106.599998,104.089996,105.260002,105.260002,1319300
2023-12-20,105.070000,106.500000,100.830002,100.879997,100.879997,1259100
2023-12-21,102.610001,103.910004,101.550003,102.330002,102.330002,957700
2023-12-22,99.690002,99.800003,97.089996,98.180000,98.180000,2336600
2023-12-26,98.500000,98.669998,96.610001,96.699997,96.699997,1220300
2023-12-27,96.750000,96.959999,94.199997,94.510002,94.510002,1571000
2023-12-28,94.360001,95.290001,93.980003,95.269997,95.269997,1169100
2023-12-29,95.000000,95.940002,92.879997,93.410004,93.410004,1276800
2024-01-02,92.699997,95.680000,92.180000,93.769997,93.769997,1670300
2024-01-03,92.120003,92.220001,88.430000,88.690002,88.690002,2243500
2024-01-04,88.190002,91.199997,87.910004,89.779999,89.779999,2094700
2024-01-05,89.000000,89.480003,85.709999,86.459999,86.459999,2856300
2024-01-08,98.500000,104.849998,96.019997,104.029999,104.029999,7258000
2024-01-09,103.349998,104.139999,100.110001,100.120003,100.120003,2942500
2024-01-10,101.190002,106.000000,100.599998,105.160004,105.160004,2245400
2024-01-11,105.199997,106.830002,103.339996,104.900002,104.900002,1637100
2024-01-12,105.160004,105.830002,103.089996,103.389999,103.389999,1432200
2024-01-16,102.809998,102.809998,99.580002,100.730003,100.730003,1758400
2024-01-17,99.199997,99.930000,98.010002,99.470001,99.470001,1145500
2024-01-18,100.099998,100.900002,98.570000,100.500000,100.500000,1044400
2024-01-19,100.559998,102.040001,99.050003,101.349998,101.349998,813000
2024-01-22,102.730003,102.970001,100.900002,102.089996,102.089996,1234300
2024-01-23,102.709999,103.440002,100.160004,101.989998,101.989998,1407800
2024-01-24,102.690002,102.790001,99.599998,100.199997,100.199997,1195700
2024-01-25,100.919998,101.480003,99.250000,100.660004,100.660004,1311900
2024-01-26,102.449997,103.919998,101.739998,102.959999,102.959999,1639600
2024-01-29,103.150002,104.809998,103.070000,104.400002,104.400002,1718500
2024-01-30,104.010002,104.430000,103.260002,103.940002,103.940002,1009200
2024-01-31,103.000000,104.680000,101.410004,101.480003,101.480003,1278400
2024-02-01,103.040001,103.320000,98.889999,100.809998,100.809998,1759200
2024-02-02,99.580002,99.750000,96.910004,98.180000,98.180000,1664500
2024-02-05,97.529999,97.709999,95.260002,96.209999,96.209999,922000
2024-02-06,96.489998,99.599998,94.500000,99.000000,99.000000,1004300
2024-02-07,99.820000,100.510002,97.860001,99.970001,99.970001,1021000
2024-02-08,100.970001,104.370003,99.330002,104.309998,104.309998,1136000
2024-02-09,105.099998,107.769997,104.620003,107.540001,107.540001,1263300
2024-02-12,108.139999,112.410004,108.000000,110.080002,110.080002,1554100
2024-02-13,105.400002,108.500000,104.639999,106.940002,106.940002,1370100
